Account ID,Account Name,Account Rating,Account Type,Application,Billing City,Billing Country,Billing State/Province,Create in Zendesk,Created By ID,Created Date,Created Updated Flag,Deleted,Industry,Is Demo Center,Last Activity,Last Modified By ID,Last Modified Date,Lead Type,Life Science KeyAccount,Owner ID,Ownership,Parent Account ID,Record Type ID,Shipping City,Shipping Country,Shipping State/Province,System Modstamp,Zendesk OutofSync,Employees
0013100001VWdHfAAL,Nunc Corp.,Other,Other,Explosives;Drugs;CWAs,Other,UNITED STATES,Other,FALSE,005i0000000fNkyAAE,7/22/2015,FALSE,FALSE,Education,FALSE,,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007KgPgAAK,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001VWdHuAAL,Nunc Corp.,Other,Customer,CWAs,Fort Meade,UNITED STATES,MD,FALSE,005i0000000fNkyAAE,7/22/2015,FALSE,FALSE,Education,FALSE,6/8/2021,00531000007MUoEAAW,11/25/2020,Other,FALSE,00531000007KgPgAAK,Other,Other,0125A000001NaCTQA0,Fort Meade,UNITED STATES,MD,6/29/2021,FALSE,0
0013100001VXN1KAAX,Nunc Corp.,Warm,Reseller,CWAs,Itasca,UNITED STATES,IL,FALSE,005i0000000fNkyAAE,8/5/2015,FALSE,FALSE,Education,FALSE,2/3/2021,00531000007MUoEAAW,2/18/2020,Other,FALSE,00531000007KgPgAAK,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001auaBQAAY,Nunc Corp.,Hot,Other,Drugs,Hoover,UNITED STATES,AL,FALSE,005i0000000fNkyAAE,9/1/2015,FALSE,FALSE,Education,FALSE,10/6/2020,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001awhseAAA,Nunc Corp.,Other,Other,CWAs,Ottawa,CANADA,Other,FALSE,005i0000000fNkyAAE,9/16/2015,FALSE,FALSE,Education,FALSE,7/24/2018,0055A00000BclF5QAJ,4/11/2021,Other,FALSE,00531000008F2qlAAC,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001bZKDxAAO,Nunc Corp.,Other,Other,Other,Lyme,UNITED STATES,NH,FALSE,005i0000000fNkyAAE,9/22/2015,FALSE,FALSE,Education,FALSE,7/24/2018,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007KgPgAAK,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001bZMFsAAO,Nunc Corp.,Other,Other,Other,Gaithersburg,UNITED STATES,MD,FALSE,005i0000000fNkyAAE,9/22/2015,FALSE,FALSE,Education,FALSE,7/24/2018,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,00531000007KgPgAAK,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001bZYGIAA4,Vestibulum Massa Industries,Other,Other,Other,Marriottsville,UNITED STATES,MD,FALSE,005i0000000fNkyAAE,9/23/2015,FALSE,FALSE,Electronics,FALSE,7/24/2018,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,005i0000000fNkyAAE,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001bZYVXAA4,Vestibulum Massa Industries,Other,Other,Other,Madison,UNITED STATES,WI,FALSE,005i0000000fNkyAAE,9/23/2015,FALSE,FALSE,Electronics,FALSE,7/24/2018,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,005i0000000fNkyAAE,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001cRpCNAA0,Vestibulum Massa Industries,Other,Other,Explosives;Drugs;CWAs;All Hazards,Other,UNITED STATES,NY,FALSE,005i0000006RgPOAA0,10/28/2015,FALSE,FALSE,Electronics,FALSE,6/9/2021,0055A00000BclF5QAJ,4/16/2021,Other,FALSE,00531000007Es7rAAC,Other,0015A00001yWmS8QAK,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
