Account ID,Backlog Rev,Bio Reactors used,BM Test,Campaign ID,Cell Culture Media,Cell Type,Close Date,Closed,Closed Lost Reason,COVID Notes,COVID Status,Created By ID,Created by Lead Conversion,Created Date,Deleted,DOR Distributor,Final Quote,Fiscal Period,Fiscal Quarter,Fiscal Year,Forecast Category,Forecast Q Commit,Forecast Q Prior Commit,Funding Source,Has Line Item,Has Open Activity,Has Overdue Task,Industry,Install This Quarter,Interface Type,Internal Forecast,Last Modified By ID,Last Modified Date,Last Stage Change Date,LDO,LDO Priority Level,Lead Application,Lead Source,Mass Spec Manufacturer,Mass Spec Type,Media Provider,Opportunity ID,Opportunity Type,Order Finalized,Other Closed Lost Details,Other Mass Spec Type,Other Research Area,Owner ID,Price Book ID,Primary Application,Primary Application (FF),Primary Contact,Product Category,Product of Interest,Purchase Agent,Record Type ID,Registered Vendor (confirmed),Secondary Application (FF),Ship This Quarter,Ship This Quarter List,Signing Authority,Stage,Standard Application,System Modstamp,Technical Owner,Validated Customer Needs,Won,# Close Date Extensions,# Close Date Month Extensions,Amount,Expected_Amount,Probability (%),Push Count
0013100001VWdHfAAL,FALSE,Other,FALSE,Other,Other,other,9/30/2015,TRUE,Other,Other,Other,005i0000000fNkyAAE,TRUE,7/22/2015,FALSE,Other,FALSE,03-01-2015,3,2015,Omitted,FALSE,FALSE,Other,FALSE,FALSE,FALSE,Education,FALSE,Other,FALSE,0055A000009s6n0QAA,9/17/2020,01-06-2020,FALSE,Other,Other,Website,Other,Other,Other,0063100000YNxMDAA1,Other,FALSE,Other,Other,Other,005i0000000fNkyAAE,Other,All Hazards,Other,Other,Other,Other,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Lost,FALSE,6/29/2021,Other,FALSE,FALSE,0,0,0,0,0,0
0013100001VWdHuAAL,FALSE,Other,FALSE,Other,Other,other,9/30/2015,TRUE,Other,Other,Other,005i0000000fNkyAAE,FALSE,7/22/2015,FALSE,Other,FALSE,03-01-2015,3,2015,Closed,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Education,FALSE,Other,FALSE,00531000007MUoEAAW,12/15/2020,01-06-2020,FALSE,Other,Other,Website,Other,Other,Other,0063100000YNxNGAA1,Other,TRUE,Other,Other,Other,005i0000000fNkyAAE,01si0000000WGiAAAW,Other,CWAs,Other,Other,Other,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Won,FALSE,6/29/2021,Other,FALSE,TRUE,0,0,923,923,100,0
001i000000Jd1ngAAB,FALSE,Other,FALSE,Other,Other,other,9/30/2015,TRUE,Other,Other,Other,005i0000000fNkyAAE,TRUE,7/31/2015,FALSE,Other,FALSE,03-01-2015,3,2015,Omitted,FALSE,FALSE,Other,FALSE,FALSE,FALSE,Education,FALSE,Other,FALSE,0055A000009s6n0QAA,9/17/2020,01-06-2020,FALSE,Other,Other,Other,Other,Other,Other,0063100000YOGBDAA5,Other,FALSE,Other,Other,Other,005i0000000fNkyAAE,Other,Other,Other,0033100002mbttwAAA,Other,Other,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Lost,FALSE,6/29/2021,Other,FALSE,FALSE,0,0,177000,0,0,0
0013100001VXN1KAAX,FALSE,Other,FALSE,Other,Other,other,9/30/2015,TRUE,Other,Other,Other,005i0000000fNkyAAE,FALSE,08-05-2015,FALSE,Other,FALSE,03-01-2015,3,2015,Omitted,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Education,FALSE,Other,FALSE,0055A000009s6n0QAA,01-06-2020,01-06-2020,FALSE,Other,Other,Other,Other,Other,Other,0063100000YOYE1AAP,Other,FALSE,Other,Other,Other,005i0000000fNkyAAE,01si0000000WGiAAAW,Other,Other,Other,Other,Other,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Lost,FALSE,6/29/2021,Other,FALSE,FALSE,0,0,100000,0,0,0
0013100001awhseAAA,FALSE,Other,FALSE,Other,Other,other,9/30/2015,TRUE,Duplicate opportunity,Other,Other,005i0000000fNkyAAE,TRUE,9/16/2015,FALSE,Other,FALSE,03-01-2015,3,2015,Omitted,FALSE,FALSE,Other,FALSE,FALSE,FALSE,Education,FALSE,Other,FALSE,00531000007MUoEAAW,2/23/2021,12/24/2020,FALSE,Other,Other,Advertisement,Other,Other,Other,0063100000ZJiQqAAL,Other,FALSE,Other,Other,Other,00531000008F2qlAAC,Other,CWAs,Other,0033100002nwgNAAAY,Other,Other,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Lost,FALSE,6/29/2021,Other,FALSE,FALSE,0,0,0,0,0,0
0013100001bZKDxAAO,FALSE,Other,FALSE,Other,Other,other,9/30/2015,TRUE,Other,Other,Other,005i0000000fNkyAAE,TRUE,9/22/2015,FALSE,Other,FALSE,03-01-2015,3,2015,Omitted,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Education,FALSE,Other,FALSE,0055A000009s6n0QAA,9/17/2020,01-06-2020,FALSE,Other,Other,Other,Other,Other,Other,0063100000ZKCUHAA5,Other,FALSE,Other,Other,Other,005i0000000fNkyAAE,01si0000000WGiAAAW,Other,Other,Other,Other,Other,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Lost,FALSE,6/29/2021,Other,FALSE,FALSE,0,0,50000,0,0,0
0013100001bZMFsAAO,FALSE,Other,FALSE,Other,Other,other,9/30/2015,TRUE,Other,Other,Other,005i0000000fNkyAAE,TRUE,9/22/2015,FALSE,Other,FALSE,03-01-2015,3,2015,Closed,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Education,FALSE,Other,FALSE,0055A000009s6n0QAA,9/17/2020,01-06-2020,FALSE,Other,Other,Other,Other,Other,Other,0063100000ZKDYTAA5,Other,TRUE,Other,Other,Other,005i0000000fNkyAAE,01si0000000WGiAAAW,Other,Other,Other,Other,Other,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Won,FALSE,6/29/2021,Other,FALSE,TRUE,0,0,50000,50000,100,0
0013100001bZYGIAA4,FALSE,Other,FALSE,Other,Other,other,9/30/2015,TRUE,Other,Other,Other,005i0000000fNkyAAE,TRUE,9/23/2015,FALSE,Other,FALSE,03-01-2015,3,2015,Omitted,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Electronics,FALSE,Other,FALSE,0055A000009s6n0QAA,9/17/2020,01-06-2020,FALSE,Other,Other,Other,Other,Other,Other,0063100000ZKMQFAA5,Other,FALSE,Other,Other,Other,005i0000000fNkyAAE,01si0000000WGiAAAW,Other,Other,Other,Other,Other,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Lost,FALSE,6/29/2021,Other,FALSE,FALSE,0,0,50000,0,0,0
0013100001bZYVXAA4,FALSE,Other,FALSE,Other,Other,other,9/30/2015,TRUE,Other,Other,Other,005i0000000fNkyAAE,TRUE,9/23/2015,FALSE,Other,FALSE,03-01-2015,3,2015,Omitted,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Electronics,FALSE,Other,FALSE,0055A000009s6n0QAA,9/17/2020,01-06-2020,FALSE,Other,Other,Other,Other,Other,Other,0063100000ZKMWSAA5,Other,FALSE,Other,Other,Other,005i0000000fNkyAAE,01si0000000WGiAAAW,Other,Other,Other,Other,Other,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Lost,FALSE,6/29/2021,Other,FALSE,FALSE,0,0,50000,0,0,0
0013100001cRpCNAA0,FALSE,Other,FALSE,Other,Other,other,12/31/2015,TRUE,Other,Other,Other,005i0000006RgPOAA0,TRUE,10/28/2015,FALSE,Other,FALSE,04-01-2015,4,2015,Omitted,FALSE,FALSE,Other,FALSE,FALSE,FALSE,Electronics,FALSE,Other,FALSE,00531000007MUoEAAW,2/23/2021,01-06-2020,FALSE,Other,Other,Other,Other,Other,Other,0063100000ZlQEeAAN,Other,FALSE,Other,Other,Other,005i0000000fNkyAAE,Other,CWAs,Other,0033100002pPZxPAAW,Other,Other,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Lost,FALSE,6/29/2021,Other,FALSE,FALSE,0,0,0,0,0,0
